Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
285,Battle of Doiran (1916),https://en.wikipedia.org/wiki/Battle_of_Doiran_(1916),9 August 1916 - 18 August 1916,9 August 1916 - 18 August 1916,"Lake Dojran, Kingdom of Serbia (present-day North Macedonia)",Bulgarian victory,Bulgaria,"France
 United Kingdom
 Kingdom of Italy",2nd Thracian Infantry Division,"3 divisions
 1 division
45,000 men
400 guns",851,"3,200 men",8/9/1916,8/18/1916,{},{'men': [3200.0]},{},"{'divisions': [3.0], 'division': [1.0], 'troops': [45000.0], 'guns': [400.0]}"
286,Battle of Doiran (1917),https://en.wikipedia.org/wiki/Battle_of_Doiran_(1917),22-Apr-17,9-May-17,"Lake Dojran, (present-day North Macedonia)",Bulgarian victory,Bulgaria,United Kingdom,"1 Division:
30,000 men
147 guns
35 mortars
130 machine guns[1]","3 Divisions:
43,000 men
160 guns
110 mortars
440 machine guns[2]","2,000 men","12,000 men",4/22/1917,5/9/1917,{'men': [2000.0]},{'men': [12000.0]},"{'division': [1.0], 'troops': [30000.0], 'guns': [147.0], 'mortars': [35.0], 'machine': [130.0]}","{'divisions': [3.0], 'troops': [43000.0], 'guns': [160.0], 'mortars': [110.0], 'machine': [440.0]}"
287,Battle of Mołotków,https://en.wikipedia.org/wiki/Battle_of_Mo%C5%82otk%C3%B3w,29-Oct-14,29-Oct-14,"Mołotków, Kingdom of Galicia and Lodomeria",Russian victory,Austria-Hungary(Polish Legions),Russian Empire,,,200 killed300 wounded400 captured,100 killed,10/29/1914,10/29/1914,"{'killed': [200.0], 'wounded': [300.0], 'captured': [400.0]}",{'killed': [100.0]},{},{}
288,Battle of Sharqat,https://en.wikipedia.org/wiki/Battle_of_Sharqat,23-Oct,"30, 1918","North of Baghdad, present-day Iraq",British–Indian–Assyrian victory[1],"British Empire

 India
 Assyrian volunteers",Ottoman Empire,"2 infantry divisions, 2 cavalry brigades","""Tigris Group"" (Dicle Grubu) of Ottoman Sixth Army; five infantry regiments and one rifle regiment[2]","1,800","11,322[citation needed]–13,000[2] POW with many more wounded and killed[citation needed]",10/23/1918,10/30/1918,{},{'pow': [13000.0]},"{'infantry': [2.0], 'cavalry': [2.0]}",{}
289,Battle of St Quentin Canal,https://en.wikipedia.org/wiki/Battle_of_St_Quentin_Canal,29-Sep,10-Oct-18,"Hindenburg Line, France49°58′30″N 3°13′54″E﻿ / ﻿49.97500°N 3.23167°E﻿ / 49.97500; 3.23167",Allied victory,"United Kingdom

 Australia
 United States",Germany,32 divisions: 30 British Empire; two American divisions[1],39 divisions[a],"8,802 (partial)[3][4] 13,182[5]  2,577[6]","36,000 POW[7]",9/29/1918,10/10/1918,{},{'pow': [36000.0]},"{'divisions': [32.0], 'british': [30.0]}",{'divisions': [39.0]}
290,Battle of Trekkopjes,https://en.wikipedia.org/wiki/Battle_of_Trekkopjes,26-Apr-15,26-Apr-15,"Trekkopjes, German Southwest Africa22°17′33″S 15°06′02″E﻿ / ﻿22.29250°S 15.10056°E﻿ / -22.29250; 15.10056",South African victory,"Germany

 German Southwest Africa",South Africa,"700–1,5002 field guns","1,3509 armoured cars",14 killed14 wounded13 captured[1],8 killed34 wounded[1],4/26/1915,4/26/1915,"{'killed': [14.0], 'wounded': [14.0], 'captured': [13.0]}","{'killed': [8.0], 'wounded': [34.0]}","{'field': [700.0, 15002.0]}",{'armoured': [13509.0]}
291,First Battle of Gaza,https://en.wikipedia.org/wiki/First_Battle_of_Gaza,26-Mar-17,26-Mar-17,"Gaza, southern Palestine",Ottoman victory,"British Empire

 Canada
 British India
 Australia
 New Zealand
 United Kingdom",Ottoman Empire German Empire Austria-Hungary,"31,000","19,000","523 killed2,932 wounded512 missing","16 dead or wounded, 41 missing 300 killed, 750 wounded, 600 missing",3/26/1917,3/26/1917,"{'killed': [523.0], 'wounded': [2932.0], 'missing': [512.0]}","{'dead': [16.0], 'missing': [41.0, 600.0], 'killed': [300.0], 'wounded': [750.0]}",{'troops': [31000.0]},{'troops': [19000.0]}
292,Battle of Jarrab,https://en.wikipedia.org/wiki/Battle_of_Jarrab,24 January 1915[1],24 January 1915[1],"Jarrab Lake, North of town of Al Majma'ah, Arabia",Jabal Shammar victory   Change of course of the Arab revolt,Jabal ShammarSupported by:  Ottoman Empire,Nejd and HasaSupported by: British Empire,"1,500–1,800","2,000",Few,600 killed,1/24/1915,1/24/1915,{},{'killed': [600.0]},{},{'troops': [2000.0]}
293,Battle of Stallupönen,https://en.wikipedia.org/wiki/Battle_of_Stallup%C3%B6nen,17 August [O.S. 4 August] 1914,17 August [O.S. 4 August] 1914,"Stallupönen, East Prussia (now Nesterov, Russia)",Russian victory[1][2],German Empire,Russian Empire,"18,000[3]","17,000[4][a]","1,500","6,905[6][7]",8/17/1914,8/17/1914,{},{},{'troops': [18000.0]},{'troops': [17000.0]}
294,Battle of Shaiba,https://en.wikipedia.org/wiki/Battle_of_Shaiba,12,14-Apr-15,"Shaiba, Southern Iraq30°24′0.000″N 47°37′59.999″E﻿ / ﻿30.40000000°N 47.63333306°E﻿ / 30.40000000; 47.63333306",British-Indian victory,"British Empire

 India","Ottoman Empire

Al-Muntafiq","6,156","18,000","1,570","2,435",4/12/1915,4/14/1915,{},{},{'troops': [6156.0]},{'troops': [18000.0]}
295,Battle of Ctesiphon (1915),https://en.wikipedia.org/wiki/Battle_of_Ctesiphon_(1915),22-Nov-15,25-Nov-15,"Ctesiphon, present-day Iraq33°5′37″N 44°34′0.001″E﻿ / ﻿33.09361°N 44.56666694°E﻿ / 33.09361; 44.56666694",Inconclusive,"British Empire

 India",Ottoman Empire,"11,000 troops
2 warships","18,000–20,000 troops
52 guns","4,600[1][2]","6,200[2][3] to 9,500[1]",11/22/1915,11/25/1915,{},{'to': [6200.0]},"{'troops': [11000.0], 'warships': [2.0]}","{'troops': [18000.0, 20000.0], 'guns': [52.0]}"
296,Battle of the Nek,https://en.wikipedia.org/wiki/Battle_of_the_Nek,7-Aug-15,7-Aug-15,"Gallipoli, Ottoman Empire",Ottoman victory,"British Empire

 Australia
 United Kingdom",Ottoman Empire,600,Unknown,372 killed and wounded,At least 12,8/7/1915,8/7/1915,{'killed': [372.0]},{},{'troops': [600.0]},{}
297,Second Battle of Cobadin,https://en.wikipedia.org/wiki/Second_Battle_of_Cobadin,19,25-Oct-16,"Rasova, Cobadin, Cernavodă; Romania",Central Powers victory,Bulgaria German Empire Ottoman Empire,Romania Russian Empire,"65 battalions and 28 squadrons; 60,207 riflemen 18 battalions; 11,374 riflemen 13 battalions Total: 96 battalions and 28 squadrons; 71,581+ riflemen [1]",71 battalions and 8 squadrons 45 battalions and 32 squadrons Total: 116 battalions and 40 squadrons[1],"11,575+[2] 5,432 [2] Unknown

Total: 17,007+ [2]","Heavy including 6,700 captured (from 19 to 21 October alone)[3]",10/19/1916,10/25/1916,"{'total': [17007.0], 'unknown': [5432.0]}","{'captured': [6700.0], 'to': [19.0], 'october': [21.0]}","{'total': [96.0], 'battalions': [65.0, 18.0, 13.0, 96.0], 'squadrons': [28.0, 28.0], 'riflemen': [60207.0, 11374.0]}","{'total': [116.0], 'battalions': [71.0, 45.0, 116.0], 'squadrons': [8.0, 32.0, 40.0]}"
298,Battle of Sevastopol (1918),https://en.wikipedia.org/wiki/Battle_of_Sevastopol_(1918),19-Apr-18,1-May-18,"Sevastopol, Russian Empire",German-Ukrainian victory,Germany Ukraine,Bolsheviks,,,,,4/19/1918,5/1/1918,{},{},{},{}
299,Battle of Messines (1914),https://en.wikipedia.org/wiki/Battle_of_Messines_(1914),12-Oct,2-Nov-14,Messines50°46′00″N 02°54′00″E﻿ / ﻿50.76667°N 2.90000°E﻿ / 50.76667; 2.90000,Inconclusive,"British Empire

 British India
 France",German Empire,,,,,10/12/1914,11/2/1914,{},{},{},{}
300,Battle of the Strait of Otranto (1917),https://en.wikipedia.org/wiki/Battle_of_the_Strait_of_Otranto_(1917),15-May-17,15-May-17,"Strait of Otranto, Adriatic Sea",Indecisive,Austria–Hungary   Germany,Italy   United Kingdom   France,1 armored cruiser  3 light cruisers  4 destroyers  3 submarines,2 light cruisers  10 destroyers  1 seaplane carrier 47 drifters,2 light cruisers damaged,1 light cruiser damaged  2 destroyers sunk  1 destroyer damaged  14 drifters sunk  4 drifters damaged  1 cargo ship sunk  1 cargo ship damaged,5/15/1917,5/15/1917,{'light': [2.0]},"{'light': [1.0], 'destroyers': [2.0], 'destroyer': [1.0], 'drifters': [14.0, 4.0], 'cargo': [1.0, 1.0]}","{'armored': [1.0], 'light': [3.0], 'destroyers': [4.0], 'submarines': [3.0]}","{'light': [2.0], 'destroyers': [10.0], 'seaplane': [1.0], 'drifters': [47.0]}"
301,Battle of Lorraine,https://en.wikipedia.org/wiki/Battle_of_Lorraine,14,25-Aug-14,Lorraine48°48′N 06°43′E﻿ / ﻿48.800°N 6.717°E﻿ / 48.800; 6.717,German victory,Germany,France,6th Army,Second Army,,,8/14/1914,8/25/1914,{},{},{},{}
302,Fourth Battle of the Isonzo,https://en.wikipedia.org/wiki/Fourth_Battle_of_the_Isonzo,10-Nov,2-Dec-15,"Soča/Isonzo river, western Slovenia",Italian victory  Italian offensive suspended[1] Conquest of important entrenchments,Italy,Austria-Hungary,"370 battalions1,374 guns",155 battalions626 guns,"49,500 (7,500 dead)","32,100 (4,000 dead)",11/10/1915,12/2/1915,{'dead': [7500.0]},{'dead': [4000.0]},"{'battalions': [370.0], 'guns': [1374.0]}","{'battalions': [155.0], 'guns': [626.0]}"
303,Battle of Varkaus,https://en.wikipedia.org/wiki/Battle_of_Varkaus,19,21 February 1918(2 days),"Varkaus, Finland",White victory,Finnish Whites,Finnish Reds,"c. 1,000","c. 1,200 (150 armed)",12 killed,c. 20 killed 180+ executed,2/19/1918,2/21/1918,{'killed': [12.0]},{'killed': [20.0]},{},{'armed': [150.0]}
304,Battle of Mont Sorrel,https://en.wikipedia.org/wiki/Battle_of_Mont_Sorrel,2,13-Jun-16,"Mont Sorrel, east of Ypres, Belgium50°49′38″N 02°56′31″E﻿ / ﻿50.82722°N 2.94194°E﻿ / 50.82722; 2.94194",Inconclusive,"British Empire

 Canada
 United Kingdom","German Empire

 Kingdom of Bavaria",2 Canadian divisions1 British division,3 divisions,"8,430","5,765[1]",6/2/1916,6/13/1916,{},{},"{'canadian': [2.0], 'british': [1.0]}",{'divisions': [3.0]}
305,Battle of Armentières,https://en.wikipedia.org/wiki/Battle_of_Armenti%C3%A8res,13-Oct,2-Nov-14,"Armentières, France50°41′17″N 02°52′52″E﻿ / ﻿50.68806°N 2.88111°E﻿ / 50.68806; 2.88111",Inconclusive,France British Empire,Germany,"2 divisions, one brigadeConneau Cavalry Corps",5 divisions,"5,779","11,300",10/13/1914,11/2/1914,{},{},{'divisions': [2.0]},{'divisions': [5.0]}
306,Battle of Broken Hill,https://en.wikipedia.org/wiki/Battle_of_Broken_Hill,1-Jan-15,1-Jan-15,"Broken Hill, Australia",,,,,,,,1/1/1915,1/1/1915,{},{},{},{}
307,Battle of Vittorio Veneto,https://en.wikipedia.org/wiki/Battle_of_Vittorio_Veneto,24-Oct,4-Nov-18,"Vittorio, Kingdom of Italy45°57′21″N 12°20′49″E﻿ / ﻿45.95583°N 12.34694°E﻿ / 45.95583; 12.34694",Italian victory[1][2][3]  Collapse of the Austro-Hungarian Empire[4][5][6],Italy  United Kingdom  France  United States,Austria-Hungary,"57 divisions:[7]

 1,415,000 in 52 divisions
 ≈40,000 in 3 divisions
 25,000 in 2 divisions
 1,200 in one regiment
Total : 1,486,200

7,700 guns600 aircraft","61 divisions:

 1,800,000[7]6,145 guns","40,917 38,000

7,000 killed
23,000 wounded
8,000 missing and captured
 2,139 778 8","528,000[8]30,000 killed50,000 wounded448,000 captured5,000+ artillery pieces captured",10/24/1918,11/4/1918,"{'killed': [7000.0], 'wounded': [23000.0], 'missing': [8000.0]}","{'killed': [52800030000.0], 'wounded': [50000.0], 'captured': [448000.0]}","{'total': [1486200.0], 'divisions': [57.0, 52.0, 3.0, 2.0], 'troops': [1415000.0, 40000.0, 25000.0, 1200.0], 'guns': [7700.0], 'aircraft': [600.0]}","{'divisions': [61.0], 'guns': [18000006145.0]}"
308,Battle of Mecca (1916),https://en.wikipedia.org/wiki/Battle_of_Mecca_(1916),10-Jun,4-Jul-16,"Mecca, Hejaz Vilayet, Ottoman Empire",Arab Victory,Arab rebels,Ottoman Empire,"5,000","1,000[1]",,,6/10/1916,7/4/1916,{},{},{'troops': [5000.0]},{'troops': [1000.0]}
